Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:15523099151808,SPACE TO HELP (NORTH),,,,UNITS 11 & 12,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,63500,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099151809,BRITISH TELECOMMUNICATIONS PLC,,,,BT INLINK O/S FORMER WHEATSHEAF,SHOPPING CENTRE,BAILLIE STREET,ROCHDALE,OL16 1JZ,01.04.2023,5000,Advertising Right and Premises,N,,0,0,N,N,N
Ref:15523099151897,SPACE TO HELP (NORTH),,,,UNIT 30,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,38500,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099154086,SPACE TO HELP (NORTH),,UNIT 24,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,01.04.2023,13250,SHOP AND PREMISES,N,,0,0,N,N,N
Ref:15523099155498,DHA CORPORATES LIMITED,,UNIT 1,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JZ,29.10.2023,15000,SHOP AND PREMISES,Y,29.10.2023,0,0,N,N,N
Ref:1552309915707A,BRITISH HEART FOUNDATION,,UNIT 27,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,10.07.2009,26500,SHOP AND PREMISES,N,,0,80,N,N,N
Ref:15523099161164,SPACE TO HELP (NORTH),,UNIT 2,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,6400,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099169221,SPACE TO HELP (NORTH),,THE ROOFTOP CAR PARK,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JZ,26.08.2022,15000,CAR PARK AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099181543,SPACE TO HELP (NORTH),,,,MANAGEMENT SUITE UPPER LEVEL,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,6600,OFFICES AND PREMISES,N,,0,0,N,N,N
Ref:15523099188129,SPACE TO HELP (NORTH),,UNIT 19-20,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,23750,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:1552309919347B,SPACE TO HELP (NORTH),,UNIT 3,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JZ,26.08.2022,8500,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099202101,DHA CORPORATES LIMITED,,,,SECURITY OFFICE,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,3600,SECURITY OFFICE AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15539698026397,J C DECAUX UK LTD,,J C DECAUX NO 8,,ADJ 1 WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL12 0LF,01.04.2005,1000,ADVERTISING RIGHT,N,,0,0,N,N,N
Ref:1553969915343B,NORTH WEST AMBULANCE SERVICE,,ROCHDALE AMBULANCE STATION,,WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL16 1DT,01.04.2005,60500,AMBULANCE STATION AND PREMISES,N,,0,0,N,N,N
Ref:15542400020055,ROCHDALE MBC,,EASTGATE STREET CAR PARK,,WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL12 0LE,01.04.2005,4950,CAR PARK AND PREMISES,N,,0,0,N,N,N
